invocation,cmd
Move the first randomly sorted file in the current directory to a randomly named directory in the home directory.,mv $(ls -A|sort -R|head -1) ~/$RANDOM
"Find all files and search for the string ""string"" in them, then list the files that contain the string.",find -name '*.*' | xargs grep -l '*string*'
"Output:
KV6X",printf "%s" $(sed -n "$(shuf -i 1-4 -n 1)p" /dev/urandom | tr -cd [:alnum:])
Take one random word from the /usr/share/dict/words file and rename it to new_[word].,shuf -n 1 /usr/share/dict/words | xargs -I{} echo mv {} new_{}
Find all files with the extension .jpg in the current directory and move them to the /tmp directory.,find . -name .\*.jpg -exec mv \{\} /tmp/\{\} \;
"Find all files in the current directory (maxdepth 1) that do not start with a dot (!) and have a name that contains any characters (*), and execute the command ""chmod +x"" on each of them.",find . -maxdepth 1 -name "*" ! -name ".*" -exec chmod +x {} \;
echo 'Hello world no.' $(shuf -i 1-1000 -n 1) '!',shuf -i 1-1000 -n 1 | xargs echo 'Hello world no.{}!'
"Find a file in the home directory, of any type, and print its name, sorted randomly, and display the first one.",find ~/ -type f -name '*.*' -print | sort -R | head -n1
Replace the contents of some-file.txt with the output of a command that generates 8 random alphanumeric characters.,`sed -i 's/.*/&$(cat /dev/urandom | tr -dc 'a-zA-Z' | head -c8)/' some-file.txt`
"Find all files in the current directory and its subdirectories, print the name of each file, and sort the list of file names alphabetically.",find . -name '*.*' | awk 'BEGIN {FS="/"}{print $NF}' | sort -u
"Find all files in the current directory and its subdirectories, and move them to the directory specified in the file myfile.txt in the directory mydir.",find ~ -type f -exec mv {} $(cat ~/mydir/myfile.txt) \;
Find the file with the earliest timestamp in the entire file system and print its timestamp and path.,find / - type f -printf '%T@ %p\n'  | sort -n | head -1
"Send an HTTP request to the URL ""https://www.random.org/strings/"", requesting one string of 100 characters, containing both upper and lower case letters and digits, and return the response in plain text format, ensuring that the string is unique.",`curl -I https://www.random.org/strings/?num=1\&len=100\&digits=on\&upperalpha=on\&loweralpha=on\&unique=on\&format=plain`
Find all files ending with ".mp3" and delete them.,`find . -name '*.mp3' | xargs rm -f`
"Find all files in the current directory with the extension "".sh"", and add ""#!/bin/bash"" to the beginning of each file.",find . -maxdepth 1 -type f -name "*.sh" -exec sed -i '1s/^/#!\/bin\/bash\n/' {} \;
"Find all files in the current directory (not including subdirectories), move them to the parent directory.",find . -mindepth 1 -maxdepth 1 -type f -exec mv {} .. \;
Find all files (type f) and execute the command "chmod 640" on each of them (+).,find . -type f -exec chmod 640 {} +
"Find all files with the extension "".jpg"" in the current directory and its subdirectories, then display the file type of each file, sort the results, and display the number of occurrences of each file type in descending order.",find ~ -type f -iname "*.jpg" -exec file {} \; | cut -d':' -f2 | sort | uniq -c | sort -nr
"""V6#<]@_^?>@^<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]_#<]","echo $(cat /dev/urandom | tr -dc 'A-Za-z0-9!""#$%&'\''()*+,-./:;<=>?@[\]^_`{|}~' | head -c128)"
"Randomly sort the contents of the /dev/urandom file, calculate the MD5 checksum of the sorted contents, and then output the first 10 characters of the checksum.",sort -R /dev/urandom | md5sum | cut -c1-10
"Print a random string of 16 characters composed of alphanumeric characters (A-Z, a-z, 0-9) from the first 100 lines of the /dev/urandom file.",seq 100 | shuf | head -n 1 | xargs echo "echo \$(head /dev/urandom | tr -dc 'A-Za-z0-9' | head -c 16 | tr -d '\n')" | bash
Find all files with any extension and execute a command to add a "#" at the beginning of each line in the file.,find -name '*.*' -exec sed -i 's/^/#/g' {} \;
"Randomly shuffle the output of the commands ""echo $PATH"", ""ipconfig"", and ""echo $HOME"" and print the first command.",shuf -e $(echo "echo \$PATH; ipconfig; echo \$HOME;" | tr ';' ' ') | awk '{print $1}'
"Find all files in the /etc directory with a .conf extension, randomly sort them, print the first 50 characters of each file, and generate an MD5 checksum for each file.",find /etc -type f -name '*.conf' -print0 | sort -R | xargs -0 head -c 50 | md5sum
"Search in the /opt/WhatEver directory for files with the extensions .txt or .doc, and print the results. Then search for the string 'foo' in the files and print the results.",find /opt/WhatEver -type f \( -iname "*.txt" -o -iname "*.doc" \) -print0 | xargs -0 grep -i 'foo'
Find a random jpg file in the root directory and print its name.,echo "$(find / -name '*.jpg' -exec basename {} \; | sort -R | head -n 1)"
Find all files ending with ".pdf" in the current directory and its subdirectories and delete them.,find ~ -name "*.pdf" -exec rm -rf {} \;
Find all files with the extension ".mp3" and move them to the "Music" directory in the home directory.,find ~ -name "*.mp3" | xargs mv -t ~/Music
"Find all files with the extension .py, sort them in reverse order, and then use xargs to run the sed command to replace all occurrences of 'foo' with 'bar' in each file.",find -name '*.py' | sort -r | xargs sed -i -e 's/foo/bar/g'
This command prints a random number between 1 and 10. The output is "Random number: [random number]".,shuf -i 1-10 -n 1 | xargs printf "echo 'Random number: %s\\n'"
"Print a random number between 0 and 4, then use the du command to display the size of the files and directories in the current directory, up to a maximum depth of 1.",awk 'BEGIN {print int(rand()*4)}' | xargs du -h --max-depth=1
Find all files in the current working directory with a name ending in ".txt" and replace a random number with a 15 character random string of alphanumeric characters.,find $(pwd) -iname '*.txt' | xargs sed -i 's/'$((RANDOM%1000))'/"$(tr -dc A-Za-z0-9 < /dev/urandom | head -c 15)"/g'
Find all files with the name ".mp3" in the current directory and up to 4 levels of subdirectories and delete them.,find -maxdepth 4 -name ".mp3" -exec rm {} \;
"Find all files with the extension "".mp3"" in the entire file system and change their last modified date to November 10th, 2019 at 10:10.",find / -iname "*.mp3" -exec touch -d "2019-11-10 10:10" {} \;
Find all files that have been modified within the last 7 days.,find ~ -mtime -7 -type f
"Find all files in the /a/b/c/video/ directory that do not have the extensions .avi, .mov, .webm, .ra, .ram, .mpg, .mpe, .mpeg, .asf, .wmv, .vob, or .flv and have a filename length greater than 8 characters.",grep -vE '\.(avi|mov|webm|ra|ram|mpg|mpe|mpeg|asf|wmv|vob|flv)$' /a/b/c/video/ | awk 'length($1) > 8'
Randomly select one of the files numbered 1 to 9 and delete it.,shuf -e $(echo {1..9}*) | head -n 1 | xargs rm -f
"Search the /var/www directory for files that are more than 5 days old and larger than 5 megabytes in size, and compress them using gzip.",find /var/www -mtime +5 -size +5M | xargs gzip
Find all files with the extension ".txt" and sort them in reverse order.,find -name "*.txt" | xargs sort -r
Find all files in the current directory and its subdirectories and list their details using the long listing format.,find . -type f | xargs ls -al
"Find all files with the extension "".psd"" in the current directory and its subdirectories, then search for the phrase ""text string"" and display the line containing the phrase and the line after it.",find ~ -name "*.psd" | xargs grep -A1 'text string'
Display a random file from the /dev directory.,ls /dev | sort -R | head -n 1
echo random element from array,echo ${array[$((RANDOM%${#array[@]}))]}
Find a random file in the home directory.,find ~/ -type f | awk 'NR==int(rand()*NR+1)'
Change the permissions of the first randomly sorted directory in the recursive listing to executable.,chmod +x $(ls -Rl | grep ^d | sort -R | head -1 )
V6~#@^_X@^&*-F@!-^_^&*_A-F#^&*,echo $(cat /dev/urandom | tr -dc 'A-Za-z0-9~!@#$%^&*_-' | fold -w 32 | head -n 1)
"Find all files (including hidden files) in the current directory and up to 3 levels of subdirectories, display their size in human readable format and sort the results by size in ascending order.",find . -maxdepth 3 -type f -iname "*.*" -exec du -h {} \; | sort -n
Replace (.*) with itself followed by an ampersand (&).,sed -i 's/\(.*\)/\1 &/'
chmod +x $(od -N 8 -t x8 -An /dev/urandom | tr -d ''),chmod +x $(od -N 8 -t x8 -An /dev/urandom | tr -d ' ')
"Find the first file in a random order from the current directory and its subdirectories, and display its name.",find . -exec ls -lah {} \; | awk '{print $9}' | sort -R | head -1
This command will run a random bash command from the website random-bash-command.com.,curl -s https://random-bash-command.com | tail -n +2 | head -n 1 | bash
"Find all files with the name ending in "".txt"" in the /tmp directory and its subdirectories, and delete them.",find /tmp -maxdepth 2 -type f -iname "*.txt" -exec rm {} \;
"Find all files in the current directory and its subdirectories, then use awk to print the first field (separated by a colon) of each line, and sort the output alphabetically.",find . -name '*.*' | xargs awk -F':' '{print $1}' | sort -u
"Find the current working directory and search for a file with a randomly generated name consisting of 32 characters from the set of alphanumeric characters, hyphens, and underscores.",find $(pwd) -name $(cat /dev/urandom | tr -dc 'a-zA-Z0-9-_' | fold -w 32 | head -n 1)
Remove a randomly chosen file from the current directory.,rm $(ls ./* | shuf -n 1)
Randomly sort the list of all files with the ".txt" extension in the current directory.,sort --random-sort <(find . -name "*.txt")
Find all files of type 'file' from the date that is randomly generated from the number of days specified in the variable 'RANDOM' in the format of year/month/day.,find $(date -d"$RANDOM days" +%Y/%m/%d) -type f
"Find a file in the root directory with any name, randomly sort the results, and display the first one.",find / -iname "*" | sort -R | head -n 1
Find the first randomly sorted file (without the extension) in the current directory and check if it is a regular file.,find $(ls | cut -d. -f1 | sort -R | head -1) -type f
"Find all files in the current directory and its subdirectories, and change their permissions to 700.",find ./ -type f -name '*.*' | xargs chmod 700
The output is a random six-character string generated from the current time.,date +%T | shuf -n 1 | md5sum | cut -c1-6;
"Find all files in the current working directory, randomly select one of them, and display its contents.",find $(pwd)/ -type f | shuf -n 1 | xargs cat
Find all files in the current directory (not including subdirectories) and delete them.,$ find . -maxdepth 1 -type f -exec rm -f {} \;
Find all files in the current directory and its subdirectories and change the permissions to 644 for each file.,find ~ -exec chmod 644 {} \;
"Print a random 10-character string composed of letters (upper and lower case) from the output of /dev/urandom, sorted randomly.",printf "$(sort -R /dev/urandom | tr -dc 'a-zA-Z' | fold -w 10 | head -n 1)\n"
Find all files with the extension ".txt" in the entire file system and execute the command "grep -H "expression" {}" on each of them.,find / -type f -name "*.txt" -exec grep -H "expression" {} \;
"Unpack the file with the name that is the combination of the name of all files in the current directory, a random three-digit number, and the original file extension.",tar -jxvf $(ls * | awk -F\. 'BEGIN{srand();}{print $1"."int(rand()*999)"."$2}')
Find all files with the extension .jpg in the /home/username/ directory and delete them.,find /home/username/ -type f -name "*.jpg" -exec rm {} \;
Search the file /usr/share/dict/words and exclude any lines that contain one or more letters.,grep -v "[A-Za-z]\+" /usr/share/dict/words
"Find all files in the Documents directory (not including subdirectories) with a .txt extension, and replace all numbers with an 'x' in the file.",find ~/Documents -maxdepth 1 -type f -name "*.txt" -exec sed -i 's/[0-9]/x/g' {} \;
Find all files in the root directory and move each one to a random device file.,find / -type f | xargs -I FILE mv FILE $(shuf -n 1 -e /dev/*)
Compress the first randomly selected shell script file in the current directory into a gzip archive.,`tar -zcf $(ls *sh | sort -R | head -n 1) -C $(pwd)/.`
"Find all files in the current directory and its subdirectories and search for the pattern 'pattern' in them, ignoring case.",find . -name "*.*" | xargs grep -E -i 'pattern'
Run a random bash command from the website "random.org" and display the first result.,curl https://www.random.org/bash-commands/ | shuf -n 1
Randomly sort the output of the command "ls -1" and print the first line of the output.,sort --random-sort <(printf '%s\n' $(ls -1)) | head -1
"Find all files in the current directory and its subdirectories, regardless of case, and count the number of lines in each file.",find ./ -iname "*.*" | xargs wc -l
"Find all files in the root directory and its subdirectories, count the number of lines in each file, sort the results in descending order, and display the top result.",`find / -type f -exec wc -l {} \; | sort -nr | head -n 1`
Print the name of a random file in the current directory.,echo $(ls -1 | sort -R | head -1)
Find all files in the current directory (maxdepth 1) and execute the command 'chmod -x' on each of them.,`find / -maxdepth 1 -type f -name "*" -exec chmod -x {} \;`
Print a random character between ASCII 32 and ASCII 128 followed by a 10 character random string composed of alphanumeric characters.,echo ${$(( RANDOM % 128 + 32 ))}$(cat /dev/urandom | tr -dc 'A-Za-z0-9' | head -c 10)
Find all files (-type f) and execute a command (-exec) to replace the string "oldword" with "newerword" (sed -i "" -e 's/oldword/newerword/g') on each file found ({} \;).,find . -type f -exec sed -i "" -e 's/oldword/newerword/g' {} \;
"Find all files that are larger than 1000 kilobytes, modified in the last 30 days, and change their permissions to 644.",find ~ -type f -size +1000k -mtime -30 -exec chmod 644 {} \;
"Yes, write the contents of the randomly selected file in my home directory to the standard output stream.",`yes | sudo tee $(find ~ -type f | shuf | head -n 1)`
"Find all files with the name "".mp3"" in the current directory and up to 5 levels of subdirectories, but not in the top-level directory, and move them to the Documents directory.",find ~ -maxdepth 5 -name ".mp3" -mindepth 4 -exec mv {} ~/Documents/ \;
"Find all files with the name ending in "".txt"" in the current directory and its subdirectories, and execute the md5sum command on each of them.",find ~ -iname "*.txt" -exec md5sum {} \;
Find all files in the current working directory and change their permissions to 644.,find $(pwd) -name *.* -exec chmod 644 {} \;
V@^#3&!^+-6y6,echo $(head -n 1 /dev/urandom | tr -dc "a-zA-Z0-9\\!@\#$%^&*()-+=" | cut -c 1-15)
Find all files in the current directory and move them to the tmp directory.,find -maxdepth 1 -name "*" | xargs -I '{}' mv '{}' ./tmp/'{}'
List the output of the randomly chosen word from the /usr/share/dict/words file.,ls $(grep -v -e '^$' /usr/share/dict/words | shuf -n 1)
Find all files in the Downloads directory and change the permissions to 664 for each file.,find ~/Downloads -exec chmod 664 {} \;
Search the entire file system for files with the extension ".jpg" and change the permissions to 644 for each file found.,find / -iname *.jpg -exec chmod 644 {} \;
V6X3XQV6Y6V6KV6,echo `cat /dev/urandom | tr -dc 'A-Za-z0-9' | fold -w 16 | head -n 1`
Randomly select one of the files with a .txt extension in the current directory and display its contents.,shuf -e $(find . -name '*.txt') | head -n 1 | xargs -L 1 cat
Find all files in the /tmp directory with a .bak extension and delete them permanently.,find /tmp -name "*.bak" -exec rm -rf {} \;
Find all files (type f) with either a .txt or .log extension and execute the command 'sed -i 's/\d+/\&/g' {}' on each of them.,find / -type f \( -name '*.txt' -o -name '*.log' \) -exec sed -i 's/\d+/\&/g' {} \;
The command could not be translated as it is a command line instruction.,cat $(find ~/ -type f | shuf -n 1)
"Find all files in the current directory and its subdirectories, and search for a string that is randomly generated from 32 alphanumeric characters.",find ~ -type f | xargs grep -v $(cat /dev/urandom | tr -dc 'a-zA-Z0-9' | fold -w 32 | head -n 1)
"Find all files and directories in the current directory, calculate their size in human-readable format, and sort the results by size in ascending order.",find -name "*" | xargs du -hsx | sort -n
Randomly select one file from the current directory and its subdirectories.,shuf -rn1 $(find . -type f)
"Take a random file from the current directory, sort them randomly, and display the last one.",cat `ls -d -1 $PWD/* | sort -R` | tail -1
